continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status,company_age
Europe,Master's,N,N,171,Northeast,69306.29,Year,Y,0,24
Asia,High School,N,N,1385,South,29987.04,Year,Y,1,11
North America,Doctorate,Y,Y,3478,Northeast,13391.34,Year,Y,0,26
Asia,Bachelor's,Y,N,1980,Northeast,105120.2,Year,Y,0,15
Europe,Bachelor's,Y,N,2069,South,127892.96,Year,Y,0,12
Asia,Master's,Y,N,3120,West,16891.35,Year,Y,0,22
Asia,Master's,Y,N,2164,Northeast,67253.22,Year,Y,0,48
Asia,Master's,Y,N,2711,South,64169.1,Year,Y,0,25
Asia,Bachelor's,Y,N,22799,Northeast,131599.5,Year,Y,0,17
Asia,Master's,Y,N,2316,Northeast,56721.39,Year,Y,0,15
Asia,High School,Y,N,2666,South,102120.76,Year,Y,0,19
Asia,Master's,N,N,92520,Midwest,94423.87,Year,Y,1,15
Asia,Bachelor's,Y,N,1736,Northeast,93246.64,Year,Y,1,27
Europe,Bachelor's,Y,N,2044,West,22412.72,Year,Y,0,18
Asia,Master's,Y,N,2217,West,97334.1,Year,Y,1,52
North America,Bachelor's,Y,N,81392,South,86051.49,Year,Y,0,13
Asia,Master's,N,N,2781,Northeast,95914.42,Year,Y,0,20
Europe,High School,N,N,4986,West,10865.39,Year,Y,1,28
South America,Master's,N,Y,45,West,141792.7,Year,Y,0,19
North America,Bachelor's,N,Y,506,Midwest,76436.68,Year,Y,0,25
Europe,Bachelor's,N,N,3219,Northeast,226.1194,Hour,Y,1,46
South America,Master's,Y,N,1238,Northeast,25999.0,Year,Y,0,10
Asia,Doctorate,N,N,303,Northeast,857.9262,Hour,Y,0,24
Europe,Bachelor's,Y,N,1235,West,100443.19,Year,Y,1,77
Asia,Master's,N,Y,1062,South,52834.82,Year,Y,0,11
Asia,Bachelor's,N,N,4418,West,89092.19,Year,Y,0,12
North America,Bachelor's,N,N,1734,Northeast,85360.13,Year,Y,0,51
Asia,High School,Y,N,3663,South,87127.12,Year,Y,0,24
Asia,Bachelor's,N,N,3834,Island,53794.56,Year,Y,0,12
Asia,Bachelor's,Y,Y,449,West,92507.55,Year,Y,1,11
Asia,Bachelor's,N,N,2158,South,930.6453,Hour,Y,1,15
Africa,Doctorate,Y,N,2004,Island,32638.49,Year,Y,0,110
Asia,Master's,Y,N,435,South,81054.85,Year,N,0,34
Asia,High School,N,N,1060,Midwest,134226.72,Year,Y,0,24
Asia,High School,Y,N,1635,South,20609.82,Year,Y,0,13
Europe,Bachelor's,N,N,1146,Northeast,59983.24,Year,Y,0,29
Asia,Master's,Y,N,1104,Northeast,107398.07,Year,Y,1,16
Asia,Doctorate,Y,Y,2495,South,218318.76,Year,Y,0,26
Europe,Master's,Y,N,1137,West,11794.08,Year,Y,0,34
Asia,Master's,Y,N,455,West,68931.88,Year,Y,1,22
North America,Master's,Y,N,1052,Northeast,54020.8,Year,N,0,11
Asia,Bachelor's,Y,N,1114,West,82297.53,Year,Y,1,35
North America,High School,Y,N,3191,Northeast,5.0899,Hour,Y,1,20
Asia,Master's,Y,N,2048,West,55348.25,Year,Y,0,30
North America,Bachelor's,Y,N,1157,Northeast,35365.01,Year,Y,0,21
Asia,Master's,Y,N,4880,West,32662.49,Year,Y,0,18
Asia,Doctorate,N,N,5180,South,109447.2,Year,Y,0,17
Asia,High School,Y,N,3135,Midwest,8675.74,Year,Y,0,143
Asia,Master's,Y,N,1454,Midwest,99296.34,Year,Y,0,55
Asia,Master's,N,N,768,Northeast,121109.74,Year,N,0,16
Asia,High School,N,N,1538,Midwest,71746.68,Year,Y,1,11
Asia,Master's,N,N,2702,South,268737.76,Year,N,1,72
North America,Bachelor's,N,N,2079,South,56.6515,Hour,Y,1,60
Europe,Bachelor's,Y,N,379,South,88498.28,Year,Y,1,120
Asia,Bachelor's,Y,N,1214,Northeast,54612.57,Year,N,0,103
North America,Master's,N,N,37413,West,135347.42,Year,N,0,14
Asia,Bachelor's,Y,N,2065,South,72398.42,Year,Y,1,29
Asia,Master's,N,N,4206,South,135580.9,Year,N,0,17
Asia,Bachelor's,N,N,1068,Northeast,92306.77,Year,N,1,20
Asia,Bachelor's,Y,N,22,Midwest,110406.5,Year,Y,1,22
North America,Master's,Y,N,2052,South,761.5473,Hour,Y,1,25
Asia,Bachelor's,Y,N,809,Midwest,79532.62,Year,Y,0,32
Europe,Bachelor's,Y,Y,2961,South,51979.59,Year,Y,1,27
North America,Master's,N,N,1200,South,55417.77,Year,N,0,18
Asia,Master's,Y,N,4779,South,171128.69,Year,N,0,26
Asia,Master's,N,N,317150,South,9580.71,Year,Y,0,22
Asia,High School,Y,N,1236,South,63907.04,Year,Y,1,13
Asia,Bachelor's,Y,N,589,South,87650.69,Year,Y,0,34
Asia,High School,N,N,3940,South,300.9051,Hour,Y,0,106
Europe,High School,N,N,352,South,66666.6,Year,Y,0,44
Asia,Master's,Y,N,4352,South,33696.44,Year,Y,0,16
Asia,High School,N,N,2099,Midwest,74775.68,Year,Y,0,19
Asia,Bachelor's,N,N,91,South,836.4666,Hour,Y,0,32
Asia,Bachelor's,Y,Y,14438,South,97744.6,Year,Y,0,96
Asia,Master's,Y,N,3150,South,111506.27,Year,Y,0,38
Asia,Master's,Y,N,96629,Northeast,124092.0,Year,N,0,17
Europe,Master's,N,N,1761,West,43248.22,Year,Y,0,26
Asia,Bachelor's,Y,N,1113,Northeast,37364.35,Year,Y,0,25
Europe,High School,Y,N,4392,West,88650.62,Year,Y,1,32
Europe,Bachelor's,N,Y,3814,Midwest,50827.99,Year,Y,1,59
Asia,Bachelor's,Y,N,2687,Midwest,117638.81,Year,Y,0,24
Europe,Master's,N,N,877,Northeast,36973.67,Year,N,0,11
South America,High School,Y,N,1562,Northeast,57400.47,Year,Y,1,25
Asia,High School,N,N,1396,Northeast,29303.24,Year,Y,1,51
Asia,Bachelor's,Y,N,874,West,60089.67,Year,Y,0,166
North America,Master's,N,N,1080,South,96602.77,Year,N,0,49
Oceania,Bachelor's,N,Y,1391,South,57113.99,Year,Y,0,27
Asia,Master's,N,Y,1917,South,100807.38,Year,Y,0,34
Asia,Bachelor's,Y,N,3212,South,50474.1,Year,Y,0,83
South America,Bachelor's,N,Y,677,West,52154.61,Year,Y,0,20
Europe,High School,Y,N,810,West,61100.79,Year,Y,0,30
Asia,Bachelor's,Y,N,3101,West,101535.52,Year,Y,0,31
Asia,Master's,N,N,3580,West,68941.1,Year,Y,0,29
Asia,Bachelor's,Y,N,739,South,44724.92,Year,Y,0,14
Asia,Master's,Y,N,5534,Northeast,48584.1,Year,Y,0,17
Asia,Bachelor's,N,Y,4478,West,46126.42,Year,Y,0,13
Asia,Master's,Y,N,1935,West,17039.44,Year,Y,0,28
Europe,Doctorate,Y,N,1796,South,61601.51,Year,Y,0,136
Asia,Bachelor's,Y,N,149,Northeast,112803.79,Year,Y,0,43
Asia,Bachelor's,N,N,3538,West,170660.5,Year,Y,0,21
Europe,Doctorate,Y,N,633,South,81554.61,Year,Y,0,120
Asia,Bachelor's,N,N,312,Northeast,154610.64,Year,Y,0,13
Asia,High School,Y,N,35,Northeast,44209.98,Year,Y,1,17
Asia,Master's,N,N,1628,Midwest,140366.52,Year,Y,0,176
Asia,Bachelor's,Y,N,5076,South,82394.86,Year,Y,0,23
South America,Master's,Y,N,3623,Northeast,14104.7,Year,Y,0,185
Asia,High School,N,N,1770,Northeast,87168.26,Year,Y,0,154
Asia,Master's,N,Y,2137,South,60675.54,Year,Y,0,51
Asia,High School,Y,N,4875,South,43374.97,Year,Y,1,38
Europe,Bachelor's,N,N,4812,West,13353.76,Year,Y,0,36
Asia,Doctorate,Y,N,1844,South,136932.08,Year,Y,0,22
North America,Master's,Y,N,1276,Northeast,38364.01,Year,Y,1,75
Asia,Master's,Y,N,2681,Midwest,83208.19,Year,Y,0,154
Africa,Bachelor's,N,N,605,Northeast,237.4818,Hour,Y,1,16
Europe,Doctorate,Y,N,2133,West,880.78,Year,Y,0,25
North America,Bachelor's,N,N,4014,West,62043.21,Year,Y,0,43
Europe,Doctorate,N,N,1942,Northeast,58490.53,Year,Y,0,185
Asia,Doctorate,Y,N,4307,West,13372.93,Year,Y,0,46
Asia,Master's,Y,N,711,Midwest,107059.97,Year,Y,0,25
Africa,Master's,Y,N,342,Northeast,102786.22,Year,Y,0,25
Asia,Bachelor's,Y,N,755,Midwest,90859.06,Year,Y,0,23
Europe,Master's,Y,N,5598,South,76460.34,Year,Y,0,44
Asia,Master's,Y,N,2486,South,84521.88,Year,Y,0,117
Africa,High School,Y,N,2971,Northeast,78341.93,Year,Y,0,25
Asia,Master's,N,N,3470,Northeast,343.8597,Hour,Y,1,19
North America,Bachelor's,Y,N,484,Midwest,116894.1,Year,N,0,219
Asia,Master's,Y,N,1622,Midwest,143184.09,Year,Y,0,30
North America,Master's,Y,N,3557,South,45343.15,Year,Y,0,34
Europe,Bachelor's,N,N,1842,South,100404.5,Year,Y,1,163
Asia,Bachelor's,N,N,4802,West,126232.53,Year,Y,1,176
Africa,High School,Y,N,16,Island,116642.32,Year,Y,1,11
North America,Master's,Y,N,2733,West,108458.31,Year,Y,0,63
Asia,Bachelor's,N,N,90181,Northeast,93944.46,Year,Y,0,14
Asia,Master's,N,N,5289,Midwest,128925.29,Year,Y,0,42
Europe,Bachelor's,N,N,4798,South,39063.66,Year,Y,0,25
Asia,High School,Y,N,2380,Island,64803.17,Year,Y,1,19
Asia,Master's,N,Y,3673,South,68510.51,Year,Y,0,10
North America,Doctorate,N,N,23885,West,298.1357,Hour,Y,1,18
Asia,Bachelor's,Y,N,1611,West,78375.82,Year,Y,0,12
Asia,Bachelor's,Y,Y,1037,Northeast,109188.76,Year,Y,0,17
Asia,High School,Y,N,5369,Northeast,50202.73,Year,Y,1,24
Asia,Master's,N,N,4896,South,160820.42,Year,N,0,39
Asia,High School,N,N,2293,Midwest,59258.81,Year,Y,1,17
South America,Master's,N,N,2908,Northeast,49411.88,Year,Y,1,107
Europe,High School,N,N,22645,West,71539.63,Year,Y,1,25
Asia,Master's,N,N,4493,Midwest,96280.2,Week,Y,0,10
Europe,Master's,N,N,2467,Northeast,131945.47,Year,N,0,15
Asia,Bachelor's,N,Y,373,West,43709.58,Year,Y,0,15
Asia,Bachelor's,Y,N,2163,Midwest,112188.0,Year,Y,0,61
Europe,High School,N,N,4118,Midwest,57945.96,Year,Y,1,24
South America,Bachelor's,N,Y,2071,South,42093.88,Year,Y,0,24
Asia,High School,N,N,805,Northeast,117.85,Hour,Y,1,125
South America,Bachelor's,Y,N,2940,West,38581.12,Year,Y,0,12
Asia,Bachelor's,N,N,2081,South,39306.03,Year,Y,0,21
Europe,Doctorate,Y,N,386,Island,44820.86,Year,Y,0,30
Asia,Bachelor's,N,N,372,Northeast,87039.57,Year,Y,0,18
Asia,Bachelor's,Y,N,1117,Midwest,54076.89,Year,Y,0,17
South America,High School,Y,N,1466,West,163906.88,Year,N,0,25
Asia,Master's,N,N,1718,West,339.5964,Hour,Y,1,31
Asia,Master's,N,N,2402,Midwest,20325.73,Year,Y,0,23
Asia,Bachelor's,N,N,2821,Northeast,85693.22,Year,Y,1,48
Asia,Master's,N,N,203,Northeast,165482.01,Year,N,0,15
Asia,High School,Y,N,2033,West,634.7041,Hour,Y,1,145
North America,Master's,N,Y,921,South,71138.13,Year,Y,1,25
Asia,Master's,N,N,1385,West,45108.92,Year,Y,1,55
Asia,Master's,N,N,2561,South,66334.72,Year,Y,1,60
Asia,High School,Y,N,486,Midwest,37238.41,Year,Y,1,30
Asia,Bachelor's,N,N,1521,Northeast,111993.94,Year,Y,0,38
Asia,Master's,Y,N,63,South,117981.3,Year,N,1,10
Asia,Bachelor's,Y,N,761,Northeast,215399.99,Year,N,1,55
Asia,Bachelor's,N,N,516,South,269.9173,Hour,Y,1,26
Asia,Master's,Y,N,2387,Northeast,39359.68,Year,Y,0,72
Asia,Bachelor's,Y,N,34706,Midwest,48484.58,Year,Y,0,27
Asia,Bachelor's,N,N,1174,West,26669.46,Year,Y,1,25
Asia,High School,Y,N,4497,South,39848.02,Year,Y,1,25
Asia,Bachelor's,N,N,2351,Midwest,86300.39,Year,Y,1,29
North America,Master's,N,N,588,Northeast,111435.77,Year,N,0,22
Asia,High School,N,N,571,South,46880.69,Year,Y,1,34
North America,Bachelor's,Y,N,2347,West,594.7953,Hour,Y,1,24
Asia,Bachelor's,Y,N,2792,Northeast,42574.63,Year,Y,0,40
Europe,High School,N,N,3212,Midwest,431.2125,Hour,Y,0,17
Asia,Master's,N,N,2092,Northeast,316.3918,Hour,Y,0,116
Asia,Bachelor's,N,N,892,South,784.0817,Hour,Y,1,34
Europe,Bachelor's,Y,Y,27,West,85195.12,Year,Y,0,24
Asia,Master's,Y,N,3209,Northeast,95354.17,Year,Y,0,25
Africa,Master's,N,N,3126,Island,122215.53,Year,Y,1,40
Asia,High School,Y,N,1246,Northeast,19355.87,Year,Y,1,24
Asia,Master's,N,N,3362,Northeast,480.1643,Hour,Y,1,20
Asia,Bachelor's,Y,N,4373,Northeast,59651.36,Year,Y,0,39
Asia,Master's,Y,N,1427,South,301.8538,Hour,Y,0,25
Asia,Master's,N,N,1550,Midwest,111966.03,Year,Y,0,50
Asia,Master's,Y,N,883,West,234902.2,Month,Y,0,11
Europe,Bachelor's,Y,N,873,West,116441.42,Year,Y,0,47
Asia,High School,Y,N,2274,South,115240.75,Year,N,1,52
Asia,Bachelor's,Y,N,444,West,110761.59,Year,Y,0,16
Asia,Bachelor's,N,Y,64,Northeast,202743.02,Year,Y,1,34
North America,Master's,N,N,1582,Northeast,335.2274,Hour,Y,1,28
Asia,Bachelor's,Y,N,2561,Northeast,69193.46,Year,Y,0,55
North America,Bachelor's,Y,N,997,West,231.7069,Hour,Y,1,103
Asia,Doctorate,N,Y,3026,South,94061.66,Year,Y,0,22
Asia,Bachelor's,Y,N,2374,West,24810.84,Year,Y,0,42
Asia,Master's,Y,N,2600,Northeast,162848.61,Year,N,0,32
Asia,Master's,Y,N,5525,West,61599.94,Year,Y,0,74
Europe,Doctorate,N,N,1645,West,73370.72,Year,Y,0,53
North America,Bachelor's,Y,N,-17,Northeast,129753.18,Year,Y,1,16
Asia,Bachelor's,Y,N,3437,Northeast,42185.68,Year,Y,0,16
Europe,Master's,N,N,3937,Northeast,103847.9,Year,Y,0,32
Asia,Master's,N,N,227,South,99780.38,Year,N,0,25
Asia,Master's,Y,Y,247,West,38406.29,Year,Y,0,30
Asia,Master's,Y,N,2729,Midwest,60716.34,Year,Y,0,27
Oceania,Bachelor's,N,N,4029,Midwest,132347.75,Year,Y,0,164
Asia,Master's,Y,N,4509,South,22326.45,Year,Y,0,17
Asia,Master's,Y,N,3608,Midwest,122959.28,Year,Y,0,22
Europe,Doctorate,N,N,1293,West,37182.04,Year,Y,0,29
Africa,High School,Y,N,732,Midwest,515.6394,Hour,Y,1,57
Europe,Doctorate,Y,N,515,West,150178.15,Year,Y,0,61
Asia,Master's,N,N,3429,Midwest,121219.73,Year,Y,1,22
Asia,Bachelor's,Y,N,3376,Northeast,458.6381,Hour,Y,1,142
North America,Bachelor's,N,N,169,Northeast,159.09,Hour,Y,1,15
Europe,Doctorate,Y,Y,875,Northeast,17855.89,Year,Y,1,27
Asia,Master's,Y,N,949,Northeast,137770.36,Year,N,1,25
Asia,Master's,Y,N,3437,West,5163.67,Year,Y,0,16
Asia,Bachelor's,Y,N,706,Northeast,33246.86,Year,Y,0,45
Asia,Bachelor's,Y,N,3922,Midwest,52463.16,Year,Y,0,17
Asia,Master's,Y,N,3942,Northeast,117918.84,Year,Y,0,27
North America,Master's,N,N,1103,South,112837.39,Year,Y,1,46
Asia,Bachelor's,N,N,348,South,113.6,Hour,Y,0,53
Asia,High School,N,N,815,West,43.7525,Hour,Y,0,34
Europe,Master's,N,N,771,Northeast,108.46,Hour,Y,1,16
Asia,Master's,Y,N,952,West,59862.76,Year,Y,0,39
Asia,Master's,Y,N,2680,South,468.4167,Hour,Y,0,131
North America,Bachelor's,Y,N,3376,Northeast,58025.3,Year,N,0,23
Europe,Master's,N,N,1498,Northeast,47444.98,Year,Y,0,22
North America,High School,Y,N,1379,West,170568.94,Year,Y,1,24
Asia,Bachelor's,Y,N,607,Midwest,117592.17,Year,Y,1,180
Asia,Master's,N,N,127,South,118955.57,Year,N,0,121
Asia,Master's,N,N,2374,South,63915.14,Year,Y,0,21
North America,Bachelor's,Y,N,72,Northeast,436.1899,Hour,Y,1,13
Europe,High School,N,N,791,Northeast,130.69,Hour,Y,1,45
Asia,Master's,Y,N,2855,West,105065.6,Year,N,0,41
Asia,Bachelor's,N,N,2585,Midwest,90321.05,Year,Y,0,18
Asia,Bachelor's,Y,N,2245,Midwest,67446.88,Year,Y,0,24
Asia,Bachelor's,Y,N,3560,West,81630.46,Year,Y,0,42
Asia,Master's,Y,N,773,South,267189.12,Year,Y,0,77
North America,Master's,N,N,77,South,205657.48,Year,N,0,11
Europe,Doctorate,Y,N,2515,West,79667.83,Year,Y,0,25
North America,Master's,N,N,23324,South,75227.06,Year,Y,0,20
Europe,Bachelor's,Y,N,1098,West,51178.44,Year,Y,0,22
Asia,Master's,Y,N,4990,Northeast,166396.49,Year,Y,0,53
Asia,Bachelor's,N,N,1433,Island,88175.03,Year,Y,0,14
Asia,Bachelor's,Y,N,506,Northeast,28633.33,Year,Y,0,17
Europe,Master's,Y,N,3824,Northeast,99518.69,Year,N,0,53
Asia,High School,Y,N,1080,West,69399.71,Year,Y,1,28
Asia,High School,N,Y,26592,West,102254.44,Year,Y,1,39
Asia,Master's,Y,N,2384,West,14517.69,Year,Y,0,22
Asia,High School,N,Y,83098,South,143561.24,Year,Y,0,51
Asia,Master's,N,N,425,South,56408.3,Year,Y,1,23
Europe,High School,N,N,3965,West,108123.72,Year,Y,0,52
North America,Bachelor's,Y,N,3560,Northeast,85587.64,Year,Y,0,48
South America,Master's,N,Y,1293,South,77512.15,Year,Y,1,33
Europe,Doctorate,N,Y,1265,South,116453.56,Year,Y,1,22
Asia,Doctorate,N,N,4375,West,95530.67,Year,Y,0,17
Asia,Master's,Y,N,2750,Northeast,159140.16,Year,N,0,114
Europe,Doctorate,Y,N,2098,Northeast,101422.95,Year,Y,0,168
Europe,Master's,Y,N,2648,Northeast,75902.1,Year,Y,0,32
Asia,Master's,Y,N,3338,Northeast,107608.28,Year,Y,0,20
Asia,Bachelor's,Y,N,701,Northeast,45309.13,Year,Y,0,79
Asia,High School,Y,N,860,Midwest,105183.97,Year,Y,1,32
Asia,Bachelor's,N,N,272,Northeast,172.72,Year,Y,1,176
Asia,Bachelor's,Y,N,4379,West,18008.84,Year,Y,0,19
Asia,Bachelor's,Y,N,2431,West,33587.17,Year,Y,0,15
North America,Master's,N,N,1856,South,727.7027,Hour,Y,1,22
North America,Master's,N,N,1670,Midwest,64715.49,Year,Y,0,35
Asia,Master's,Y,N,2115,South,37157.58,Year,N,0,31
Asia,Master's,N,N,202,Northeast,210374.15,Year,N,0,19
Asia,Bachelor's,N,N,984,West,140.85,Hour,Y,1,31
Asia,High School,Y,Y,330,South,119692.85,Year,Y,0,137
Asia,Bachelor's,Y,N,818,South,587.7049,Hour,Y,0,28
Europe,Bachelor's,Y,Y,1396,Northeast,83395.24,Year,Y,0,13
Asia,Master's,N,N,4241,Northeast,3456.8,Year,Y,1,25
Europe,Bachelor's,N,Y,1801,Northeast,91564.34,Year,Y,0,24
Oceania,High School,Y,N,2028,West,68917.53,Year,Y,0,76
Asia,High School,Y,N,3471,West,20374.97,Year,Y,0,25
Asia,Bachelor's,Y,N,5621,Northeast,49594.52,Year,N,0,186
Asia,Bachelor's,Y,N,831,West,44541.32,Year,Y,1,21
Europe,Master's,Y,N,1104,South,56797.94,Year,Y,0,23
Asia,High School,N,Y,220,West,100112.71,Year,Y,1,43
South America,High School,Y,N,484,Midwest,141662.65,Year,Y,0,30
Asia,Bachelor's,Y,N,3206,Northeast,56992.74,Year,Y,1,29
North America,Bachelor's,Y,N,1696,South,129294.14,Year,Y,1,24
Asia,Bachelor's,Y,N,2965,West,68619.16,Year,Y,0,12
Asia,Master's,Y,N,2611,West,154627.31,Year,Y,0,32
Asia,High School,Y,N,1936,West,10927.9,Year,Y,1,73
Oceania,Bachelor's,N,N,908,Midwest,93818.59,Week,Y,1,18
Asia,Master's,Y,N,2416,South,137131.13,Year,N,0,21
Asia,Bachelor's,Y,N,2929,Northeast,113622.41,Year,Y,0,31
Asia,High School,N,N,22,Midwest,158211.14,Year,Y,1,14
North America,Bachelor's,N,N,1008,Northeast,72620.02,Year,Y,1,185
Asia,High School,Y,N,732,Midwest,89973.37,Year,Y,0,14
Europe,Master's,N,N,1091,Northeast,43622.41,Year,Y,1,49
Asia,Bachelor's,N,N,3120,South,61440.83,Year,Y,0,22
North America,Master's,N,N,593,West,167.9464,Hour,Y,1,185
Asia,Bachelor's,Y,N,4486,Northeast,94788.53,Year,Y,0,17
Asia,Master's,Y,N,1213,Northeast,141661.43,Year,Y,0,15
Asia,High School,Y,N,189,Midwest,104250.86,Year,Y,1,17
Asia,Master's,Y,N,3551,South,14840.54,Year,Y,0,23
Asia,High School,N,Y,2536,South,102354.13,Year,Y,1,25
Asia,High School,N,N,798,South,184117.8,Year,Y,1,36
Asia,Master's,Y,N,2536,South,121205.71,Year,N,0,66
Asia,Master's,N,N,5280,South,71470.16,Year,N,0,39
North America,Master's,N,N,160,South,133821.87,Year,N,1,160
Asia,High School,Y,N,2893,West,31411.56,Year,Y,1,29
Asia,High School,Y,N,2903,Northeast,107103.39,Year,Y,1,25
Oceania,Master's,Y,N,1829,Northeast,74975.25,Year,Y,0,30
Asia,Bachelor's,N,N,1713,Northeast,791.7025,Hour,Y,1,18
Asia,Bachelor's,N,N,173,Midwest,224366.03,Year,Y,0,19
Asia,Master's,Y,N,195,Midwest,160788.76,Year,Y,0,18
Asia,Bachelor's,N,N,3134,South,673.6424,Hour,Y,1,78
Asia,Master's,Y,N,2021,Midwest,123468.56,Year,Y,0,16
Asia,Bachelor's,Y,N,85,Island,44443.89,Year,Y,1,47
North America,Doctorate,N,N,3558,South,122784.9,Year,Y,0,17
North America,Bachelor's,Y,N,113,Northeast,90969.75,Year,Y,0,112
Asia,High School,Y,N,346,South,113232.54,Year,Y,0,32
Asia,Doctorate,N,Y,3782,Northeast,83273.78,Year,Y,0,24
Asia,High School,Y,N,3869,Northeast,46763.11,Year,Y,1,29
Asia,Bachelor's,N,N,3720,West,64994.93,Year,Y,0,165
Asia,Master's,Y,N,6630,West,89959.56,Year,N,0,30
Europe,Doctorate,N,N,3330,West,35952.16,Year,Y,0,13
Asia,Master's,Y,Y,1165,South,72873.61,Year,Y,0,103
Asia,High School,N,N,3833,Midwest,62138.69,Year,Y,1,162
Asia,High School,N,N,109,Midwest,122642.28,Year,Y,0,46
Asia,Master's,N,N,165502,Northeast,63670.06,Year,Y,0,98
Asia,Master's,N,N,4642,Midwest,9506.39,Year,Y,0,30
Europe,Bachelor's,N,N,1174,West,8819.93,Year,Y,0,27
Asia,Master's,Y,N,2642,South,167073.5,Year,Y,0,47
Europe,Doctorate,N,Y,561,Midwest,25571.18,Year,Y,0,10
Asia,High School,N,Y,61,South,798.4925,Hour,Y,1,74
Asia,Bachelor's,Y,N,578,South,18641.41,Year,Y,0,63
North America,High School,N,N,2688,South,590.1546,Hour,Y,1,23
Asia,Bachelor's,Y,N,3537,South,249850.51,Year,N,0,61
Europe,Doctorate,Y,Y,28350,South,101874.51,Year,Y,0,34
Asia,Bachelor's,Y,N,665,Northeast,136688.66,Year,Y,1,14
Asia,Bachelor's,Y,N,1398,Northeast,9113.92,Year,Y,0,16
Asia,Doctorate,N,N,4434,Midwest,164308.38,Year,Y,0,18
Asia,Bachelor's,Y,N,4540,West,51269.58,Year,Y,1,38
Asia,Bachelor's,N,N,2181,South,63406.78,Year,Y,0,19
Asia,Master's,N,N,3092,Midwest,92301.62,Year,Y,0,206
Europe,Master's,Y,N,651,Northeast,82471.77,Year,Y,0,11
South America,Bachelor's,N,N,472,Midwest,239.3237,Hour,Y,1,30
Asia,Bachelor's,N,N,2711,South,113675.84,Year,Y,0,17
Asia,Bachelor's,N,N,2663,Midwest,88620.95,Year,Y,1,38
Asia,Bachelor's,N,N,1251,Northeast,112795.28,Year,Y,1,19
Asia,Master's,Y,N,452,South,122540.55,Year,Y,0,133
Asia,Doctorate,Y,N,54598,West,97368.15,Year,Y,0,31
Europe,Master's,N,Y,2122,South,155605.02,Year,Y,0,14
Europe,Bachelor's,Y,Y,2030,South,222276.55,Year,Y,0,26
Asia,Bachelor's,Y,N,3032,South,53882.15,Year,Y,0,20
Asia,Bachelor's,N,N,3918,South,92622.89,Year,Y,1,21
Asia,Master's,N,N,2017,South,92497.06,Year,Y,0,27
Asia,Bachelor's,Y,N,4007,South,107651.48,Year,Y,0,89
Asia,Bachelor's,Y,N,5968,West,28510.01,Year,Y,0,31
Europe,Master's,N,Y,2482,South,72134.31,Year,Y,0,15
Asia,Bachelor's,Y,N,249,South,242597.19,Year,Y,0,32
Asia,Doctorate,Y,Y,2915,West,23331.87,Year,Y,0,26
North America,Master's,Y,N,1543,West,105142.32,Year,N,1,26
Asia,High School,N,N,699,South,133819.93,Year,Y,0,12
Asia,Bachelor's,Y,N,1786,West,98742.02,Year,Y,0,42
Asia,Master's,N,N,4459,South,280.4605,Hour,Y,0,34
Europe,Master's,Y,Y,2190,Island,60605.79,Year,Y,0,29
Europe,Doctorate,N,Y,83,West,203045.5,Year,Y,0,63
Asia,Bachelor's,N,N,2655,Island,33698.57,Year,Y,1,185
Europe,Bachelor's,N,Y,2218,West,10870.74,Year,Y,0,43
North America,Bachelor's,Y,N,1379,Northeast,926.7839,Hour,Y,1,16
Asia,Bachelor's,N,N,236,West,5572.96,Year,Y,1,25
Asia,Master's,Y,N,3623,West,10550.14,Year,Y,1,37
Asia,Bachelor's,N,Y,2513,South,129873.18,Year,Y,0,17
Asia,Master's,Y,N,6509,South,3511.73,Year,Y,0,21
Asia,Master's,Y,N,119,Northeast,781.0723,Hour,Y,0,25
Asia,Bachelor's,N,N,2495,West,22431.19,Year,Y,1,19
Asia,Doctorate,Y,N,1656,Northeast,63881.17,Year,Y,0,17
Asia,Bachelor's,Y,N,1031,Midwest,112576.25,Year,Y,0,14
Europe,Bachelor's,Y,N,1045,West,64319.18,Year,Y,0,29
Oceania,Bachelor's,N,Y,3150,Northeast,42661.79,Year,N,1,23
Asia,High School,Y,N,2392,Northeast,4175.77,Year,Y,0,14
Asia,Bachelor's,Y,N,2926,South,16923.87,Year,Y,1,14
Asia,Bachelor's,N,N,2989,Northeast,46404.27,Year,Y,0,18
Europe,Master's,Y,N,477,West,19185.76,Year,Y,0,14
Asia,Bachelor's,Y,N,506,Northeast,75156.15,Year,Y,1,14
Asia,Master's,Y,N,1869,South,78978.32,Year,N,0,18
Asia,Master's,Y,N,4847,West,1898.76,Year,Y,0,46
Asia,Doctorate,Y,Y,463,Northeast,135666.51,Year,Y,0,42
Asia,High School,N,N,4294,Midwest,196430.88,Year,Y,1,16
Europe,Doctorate,N,N,500,West,61910.96,Year,Y,0,34
North America,Master's,Y,N,2953,South,82810.17,Year,N,0,24
South America,Master's,N,N,3194,Midwest,63593.38,Year,Y,1,31
Asia,Bachelor's,N,N,2568,West,44160.6,Year,Y,1,94
Europe,Doctorate,N,N,1344,West,30295.34,Year,Y,0,153
Asia,High School,Y,N,1407,Midwest,167672.22,Year,Y,0,21
Asia,Doctorate,N,Y,1752,West,32198.5,Year,Y,0,23
Asia,Bachelor's,N,N,1858,Midwest,3339.5,Year,Y,0,59
North America,Master's,Y,N,1220,South,114875.2,Year,Y,0,95
